;Bolo Az FWHM El FWHM Az OFF  El OFF   Gain        Gain Error  Sensitivity  Mean El
;    (arcsec) (arcsec) (arcsec) (arcsec) (mJy/nW)  mJy/nW)     (mJy s^(1/2))  deg. 
;**********************************************************************************
h3b16 7.37297 9.95567 4.64651 8.94823 -4.78207e+07 3.50408e+06 1.00000 64.396046
h3b17 8.48356 10.6011 -7.47924 60.7798 -5.92691e+07 4.74025e+06 1.00000 64.396046
h3b18 8.00156 10.7720 17.0202 35.9928 -4.89499e+07 3.13654e+06 1.00000 64.396046
h3b19 7.99948 9.97586 16.2643 53.7368 -5.21138e+07 3.24519e+06 1.00000 64.396046
h3b20 8.22258 9.94703 7.86786 35.2998 -4.85322e+07 3.24488e+06 1.00000 64.396046
h3b21
h3b22
h3b23 8.41316 9.22368 -5.47879 25.4180 -4.45043e+07 2.87361e+06 1.00000 64.396046
h3b24 7.97094 9.26934 -11.1873 34.1863 -4.71805e+07 3.32777e+06 1.00000 64.396046
h4b1 8.44424 9.46845 51.7228 30.1503 -5.37691e+07 3.38408e+06 1.00000 64.396046
h4b2 7.96785 9.24093 58.4701 2.77799 -4.82021e+07 2.91821e+06 1.00000 64.396046
h4b3 7.48214 10.7507 47.6075 20.2132 -6.51062e+07 4.05858e+06 1.00000 64.396046
h4b4 8.23875 9.20154 38.0068 19.7566 -5.83384e+07 3.57382e+06 1.00000 64.396046
h4b5 7.95768 10.1087 32.3240 28.1102 -4.90661e+07 2.88861e+06 1.00000 64.396046
h4b6 8.27189 10.0278 31.1569 46.3535 -5.50759e+07 3.98694e+06 1.00000 64.396046
h4b7 7.88412 11.2729 36.1955 37.7374 -5.39388e+07 3.39135e+06 1.00000 64.396046
h4b8 7.96939 10.3034 24.0430 9.86503 -5.77133e+07 3.65502e+06 1.00000 64.396046
h4b9 8.31526 9.68960 41.9537 28.9819 -5.14547e+07 3.22104e+06 1.00000 64.396046
h4b10 7.67547 10.1229 48.7436 2.20392 -5.13320e+07 3.11590e+06 1.00000 64.396046
h4b11 8.02138 9.58966 43.3284 10.8696 -5.09857e+07 3.05464e+06 1.00000 64.396046
h4b12 8.03836 9.70290 29.1446 1.02229 -5.20417e+07 3.39135e+06 1.00000 64.396046
h4b13 7.92122 9.45356 28.1606 18.6802 -5.04174e+07 3.29861e+06 1.00000 64.396046
h4b14 7.85382 9.45567 14.1281 9.46804 -5.48415e+07 3.49366e+06 1.00000 64.396046
h4b15 8.20248 9.76371 26.6057 37.1939 -5.43109e+07 3.26777e+06 1.00000 64.396046
h4b16
h4b17 8.19920 10.5537 45.5550 38.7236 -5.11691e+07 3.26900e+06 1.00000 64.396046
h4b18 7.88174 9.99069 39.0846 1.38428 -5.32785e+07 3.34491e+06 1.00000 64.396046
